slug,terme_fr,terme_en,axe,niveau,theme,statut,couverture
inversion-modele,Attaque par inversion de modèle,Model inversion attack,responsabilite,avance,securite,a_rediger,cnil
iso-42001,ISO/IEC 42001,ISO/IEC 42001 (AI management systems),reglementaire,avance,cadre-juridique,a_rediger,
iteration-requetes,Itération de requêtes,Iterative prompting,fondamentaux,fondamental,prompting-usage,a_rediger,oqlf
jailbreak,Débridage d'IA (jailbreak),Jailbreak,responsabilite,intermediaire,securite,a_rediger,franceterme oqlf
jeu-donnees,Jeu de données (dataset),Dataset,fondamentaux,fondamental,donnees,a_rediger,
journalisation,Journalisation (logs),Audit logging,reglementaire,intermediaire,securite,a_rediger,
jumeau-numerique,Jumeau numérique,Digital twin,fondamentaux,intermediaire,architecture-modeles,a_rediger,oqlf
jury-certification,Jury de certification,Certification jury,economie,fondamental,ecosysteme-outils,publie,
kyutai,Kyutai,Kyutai (French AI lab),souverainete,avance,ecosysteme-outils,a_rediger,
lac-donnees,Lac de données,Data lake,fondamentaux,intermediaire,donnees,a_rediger,franceterme
langchain,LangChain,LangChain,fondamentaux,intermediaire,rag-agents,publie,
langgraph,LangGraph,LangGraph,fondamentaux,avance,rag-agents,a_rediger,hoko
latence,Latence,Latency,fondamentaux,intermediaire,architecture-modeles,a_rediger,google_genai google_ml
le-chat,Le Chat (Mistral),Le Chat (Mistral),souverainete,fondamental,ecosysteme-outils,a_rediger,
licences-open-source,"Licences open source (Apache 2.0, MIT)",Open-source licences,souverainete,intermediaire,ecosysteme-outils,a_rediger,
litellm,LiteLLM,LiteLLM,souverainete,avance,ecosysteme-outils,a_rediger,
llama,LLaMA,Llama,souverainete,intermediaire,ecosysteme-outils,publie,hoko
llm,LLM,Large Language Model (LLM),fondamentaux,fondamental,architecture-modeles,publie,franceterme google_genai google_ml hoko wikipedia
llm-juge,LLM juge,LLM-as-a-judge,fondamentaux,avance,evaluation-qualite,a_rediger,
llmops,LLMOps,LLMOps,fondamentaux,avance,ecosysteme-outils,a_rediger,hoko
localisation-donnees,Localisation des données,Data residency,souverainete,intermediaire,donnees,a_rediger,
lock-in,Lock-in,Vendor lock-in,souverainete,intermediaire,ecosysteme-outils,publie,
logits,Logits et probabilités de sortie,Logits,fondamentaux,avance,architecture-modeles,a_rediger,google_ml
lois-echelle,Lois d'échelle,Scaling laws,fondamentaux,avance,architecture-modeles,a_rediger,
lora,LoRA · adaptation à faible rang,LoRA (Low-Rank Adaptation),souverainete,avance,entrainement-apprentissage,a_rediger,google_ml wikipedia
marecage-donnees,Marécage de données (data swamp),Data swamp,fondamentaux,avance,donnees,a_rediger,franceterme
marquage-ce,Marquage CE des systèmes d'IA,CE marking for AI,reglementaire,avance,cadre-juridique,a_rediger,
matrice-confusion,Matrice de confusion,Confusion matrix,fondamentaux,avance,evaluation-qualite,a_rediger,google_ml
mcp,MCP · Model Context Protocol,Model Context Protocol (MCP),fondamentaux,avance,rag-agents,a_rediger,hoko
mecanisme-attention,Mécanisme d'attention,Attention mechanism,fondamentaux,avance,architecture-modeles,a_rediger,wikipedia
megadonnees,Mégadonnées (big data),Big data,fondamentaux,fondamental,donnees,a_rediger,franceterme oqlf wikipedia
melange-experts,Mélange d'experts (MoE),Mixture of Experts (MoE),fondamentaux,avance,architecture-modeles,a_rediger,google_ml oqlf
memoire-agent,Mémoire d'agent,Agent memory,fondamentaux,avance,rag-agents,a_rediger,
memoire-assistants,Mémoire des assistants IA,AI assistant memory,responsabilite,intermediaire,prompting-usage,a_rediger,
meta-ai,Meta AI,Meta AI,economie,fondamental,ecosysteme-outils,a_rediger,
metadonnees,Métadonnées,Metadata,fondamentaux,intermediaire,donnees,a_rediger,franceterme
metiers-ia,Nouveaux métiers de l'IA,AI jobs,economie,fondamental,ecosysteme-outils,a_rediger,
midjourney,Midjourney,Midjourney,economie,fondamental,ecosysteme-outils,a_rediger,
minimisation,Minimisation des données,Data minimisation,reglementaire,intermediaire,donnees,a_rediger,
mistral-ai,Mistral AI,Mistral AI,souverainete,fondamental,ecosysteme-outils,publie,
mix-energetique,Mix énergétique,Energy mix,responsabilite,intermediaire,impact-environnemental,a_rediger,
mlops,MLOps,MLOps,fondamentaux,avance,ecosysteme-outils,a_rediger,
mmlu,MMLU,MMLU,fondamentaux,avance,evaluation-qualite,a_rediger,
model-card,Notice de modèle (model card),Model card,responsabilite,intermediaire,architecture-modeles,a_rediger,franceterme
modele-autoregressif,Modèle autorégressif,Autoregressive model,fondamentaux,avance,architecture-modeles,a_rediger,oqlf
modele-discriminatif,Modèle discriminatif,Discriminative model,fondamentaux,avance,architecture-modeles,a_rediger,cnil google_ml
modele-fondation,Modèle de fondation,Foundation model,fondamentaux,fondamental,architecture-modeles,a_rediger,cnil google_genai google_ml hoko oqlf
modele-generatif,Modèle génératif,Generative model,fondamentaux,fondamental,architecture-modeles,a_rediger,cnil franceterme google_ml
modele-raisonnement,Modèle de raisonnement,Reasoning model,fondamentaux,intermediaire,architecture-modeles,a_rediger,wikipedia
modele-recompense,Modèle de récompense,Reward model,fondamentaux,avance,entrainement-apprentissage,a_rediger,
modeles-diffusion,Modèles de diffusion,Diffusion models,responsabilite,intermediaire,architecture-modeles,publie,
modeles-monde,Modèles du monde,World models,fondamentaux,avance,architecture-modeles,a_rediger,
modeles-multilingues,Modèles multilingues,Multilingual models,souverainete,intermediaire,architecture-modeles,a_rediger,
modeles-symboliques,Modèles symboliques,Symbolic AI,fondamentaux,avance,architecture-modeles,publie,
moderation-contenu,Modération de contenu par IA,AI content moderation,responsabilite,intermediaire,evaluation-qualite,a_rediger,
moindre-privilege,Principe de moindre privilège,Least privilege,responsabilite,intermediaire,securite,a_rediger,
monitoring,Monitoring IA,Monitoring & observability,souverainete,intermediaire,evaluation-qualite,publie,
mooc,MOOC,MOOC,economie,fondamental,ecosysteme-outils,publie,
multimodal,Multimodal,Multimodal,responsabilite,intermediaire,architecture-modeles,publie,cafeia
neuromorphique,Informatique neuromorphique,Neuromorphic computing,fondamentaux,avance,architecture-modeles,a_rediger,
neurone-artificiel,Neurone artificiel,Artificial neuron,fondamentaux,avance,architecture-modeles,a_rediger,cnil franceterme oqlf
neutralite-carbone,Neutralité carbone des Big Tech,Big Tech carbon neutrality claims,responsabilite,intermediaire,impact-environnemental,a_rediger,
nis2,Directive NIS 2,NIS 2 Directive,reglementaire,avance,cadre-juridique,a_rediger,
nist-ai-rmf,Cadre de gestion des risques IA du NIST,NIST AI Risk Management Framework,reglementaire,avance,cadre-juridique,a_rediger,
nlp,Traitement automatique du langage naturel (TALN),Natural Language Processing (NLP),fondamentaux,fondamental,architecture-modeles,a_rediger,cnil google_ml wikipedia
no-code,"No-code, low-code et IA",No-code / low-code AI,economie,fondamental,prompting-usage,a_rediger,
normes-harmonisees,Normes harmonisées (CEN-CENELEC),Harmonised standards,reglementaire,avance,cadre-juridique,a_rediger,
notation-sociale,Notation sociale,Social scoring,reglementaire,fondamental,cadre-juridique,a_rediger,
notebooklm,NotebookLM,NotebookLM,economie,intermediaire,ecosysteme-outils,a_rediger,
numerique-responsable,Numérique responsable,Responsible digital technology,responsabilite,fondamental,impact-environnemental,a_rediger,
nvidia,NVIDIA,NVIDIA,economie,fondamental,ecosysteme-outils,a_rediger,
obsolescence-materiel,Obsolescence du matériel IA,AI hardware obsolescence,responsabilite,intermediaire,impact-environnemental,a_rediger,
ocr,Reconnaissance optique de caractères (OCR),Optical Character Recognition (OCR),fondamentaux,fondamental,architecture-modeles,a_rediger,oqlf
ollama,Ollama,Ollama,souverainete,intermediaire,ecosysteme-outils,a_rediger,
ontologie,Ontologie,Ontology,fondamentaux,avance,architecture-modeles,a_rediger,cnil
open-source-ia,Open source (IA),Open-source AI,souverainete,fondamental,ecosysteme-outils,publie,cafeia hoko
open-webui,OpenWebUI,OpenWebUI,souverainete,intermediaire,ecosysteme-outils,a_rediger,
open-weights,Modèle à poids ouverts,Open-weights model,souverainete,intermediaire,architecture-modeles,a_rediger,
openai,OpenAI,OpenAI,economie,fondamental,ecosysteme-outils,a_rediger,wikipedia
openrag,OpenRAG,OpenRAG,souverainete,intermediaire,rag-agents,publie,
opt-out,Opt-out des ayants droit,Rights holder opt-out,reglementaire,intermediaire,cadre-juridique,a_rediger,
orchestration-ia,Orchestration IA,AI orchestration,souverainete,intermediaire,rag-agents,a_rediger,
ori-ia,ORI-IA,ORI-IA workshop,economie,fondamental,ecosysteme-outils,publie,
oubli-catastrophique,Oubli catastrophique,Catastrophic forgetting,fondamentaux,avance,entrainement-apprentissage,a_rediger,
outils-proprietaires,Outils propriétaires,Proprietary tools,economie,fondamental,ecosysteme-outils,publie,
ovhcloud,OVHcloud,OVHcloud,souverainete,fondamental,ecosysteme-outils,a_rediger,
owasp-llm,OWASP Top 10 pour les LLM,OWASP Top 10 for LLM,responsabilite,avance,securite,a_rediger,
parametres,Paramètres d'un modèle,Model parameters,fondamentaux,fondamental,architecture-modeles,a_rediger,google_genai
perceptron,Perceptron,Perceptron,fondamentaux,avance,architecture-modeles,a_rediger,google_ml oqlf wikipedia
perplexite-metrique,Perplexité (métrique),Perplexity (metric),fondamentaux,avance,evaluation-qualite,a_rediger,google_ml
perplexity,Perplexity,Perplexity,economie,fondamental,ecosysteme-outils,a_rediger,google_ml
pipeline-donnees,Pipeline de données,Data pipeline,fondamentaux,avance,donnees,a_rediger,
pipeline-ingestion,Pipeline d'ingestion documentaire,Document ingestion pipeline,fondamentaux,intermediaire,rag-agents,a_rediger,
planification-agent,Planification (agents),Agent planning,fondamentaux,avance,rag-agents,a_rediger,
poc,Preuve de concept (POC),Proof of Concept (POC),economie,fondamental,ecosysteme-outils,a_rediger,
poids-modele,Poids d'un modèle,Model weights,fondamentaux,intermediaire,architecture-modeles,a_rediger,
point-controle,Point de contrôle (checkpoint),Model checkpoint,fondamentaux,avance,entrainement-apprentissage,a_rediger,
police-predictive,Police prédictive,Predictive policing,responsabilite,intermediaire,cadre-juridique,a_rediger,
portabilite-donnees,Portabilité des données,Data portability,souverainete,intermediaire,donnees,a_rediger,
porte-derobee-modele,Porte dérobée dans un modèle,Model backdoor,responsabilite,avance,securite,a_rediger,
post-entrainement,Post-entraînement,Post-training,fondamentaux,avance,entrainement-apprentissage,a_rediger,
power-bi,Power BI,Power BI,economie,fondamental,ecosysteme-outils,publie,
pratiques-interdites,Pratiques d'IA interdites,Prohibited AI practices,reglementaire,intermediaire,cadre-juridique,a_rediger,
pre-entrainement,Préentraînement,Pre-training,fondamentaux,intermediaire,entrainement-apprentissage,a_rediger,google_ml oqlf
precision-rappel,Précision et rappel,Precision and recall,fondamentaux,avance,evaluation-qualite,a_rediger,
privacy-by-design,Confidentialité dès la conception,Privacy by design,reglementaire,intermediaire,cadre-juridique,a_rediger,franceterme
prompt,Prompt,Prompt,fondamentaux,fondamental,prompting-usage,publie,cafeia franceterme google_ml hoko
prompt-engineering,Ingénierie de prompt,Prompt engineering,fondamentaux,fondamental,prompting-usage,a_rediger,google_genai google_ml hoko
prompt-injection,Prompt injection,Prompt injection,economie,intermediaire,securite,publie,
prompt-negatif,Prompt négatif,Negative prompt,fondamentaux,intermediaire,prompting-usage,a_rediger,
prompt-systeme,Prompt système,System prompt,fondamentaux,intermediaire,prompting-usage,a_rediger,
protocole-a2a,Protocole d'agent à agent (A2A),Agent-to-Agent protocol (A2A),fondamentaux,avance,rag-agents,a_rediger,
pseudonymisation,Pseudonymisation,Pseudonymization,reglementaire,avance,donnees,a_rediger,
pue,PUE,PUE (Power Usage Effectiveness),responsabilite,avance,impact-environnemental,publie,
pytorch,PyTorch,PyTorch,fondamentaux,avance,ecosysteme-outils,a_rediger,wikipedia
qualite-donnees,Qualité des données,Data quality,fondamentaux,fondamental,donnees,a_rediger,
quantification,Quantification de modèle,Model quantization,responsabilite,avance,architecture-modeles,a_rediger,
qwen,Qwen,Qwen (Alibaba),souverainete,avance,ecosysteme-outils,a_rediger,
rag,RAG,RAG (Retrieval-Augmented Generation),souverainete,fondamental,rag-agents,publie,google_ml hoko
rag-multimodal,RAG multimodal,Multimodal RAG,fondamentaux,avance,rag-agents,a_rediger,
raisonnement-etendu,Raisonnement étendu (test-time compute),Extended reasoning (test-time compute),fondamentaux,avance,prompting-usage,a_rediger,
react,ReAct · raisonner et agir,ReAct (Reasoning and Acting),fondamentaux,avance,rag-agents,a_rediger,hoko
recherche-approfondie,Recherche approfondie (deep research),Deep research,fondamentaux,intermediaire,prompting-usage,a_rediger,
recherche-hybride,Recherche hybride,Hybrid search,fondamentaux,avance,rag-agents,a_rediger,
recherche-ia,Recherche augmentée par IA,AI-powered search,economie,fondamental,prompting-usage,a_rediger,
recherche-semantique,Recherche sémantique,Semantic search,fondamentaux,fondamental,rag-agents,a_rediger,
reclassement,Reclassement (reranking),Reranking,fondamentaux,avance,rag-agents,a_rediger,
reconnaissance-emotions,Reconnaissance des émotions,Emotion recognition,reglementaire,intermediaire,cadre-juridique,a_rediger,
reconnaissance-entites,Reconnaissance d'entités nommées,Named Entity Recognition (NER),fondamentaux,avance,architecture-modeles,a_rediger,cnil oqlf wikipedia
reconnaissance-faciale,Reconnaissance faciale,Facial recognition,reglementaire,fondamental,cadre-juridique,a_rediger,oqlf
reconnaissance-parole,Reconnaissance automatique de la parole,Automatic speech recognition,fondamentaux,intermediaire,architecture-modeles,a_rediger,oqlf
red-teaming,Red teaming IA,AI red teaming,responsabilite,avance,securite,a_rediger,
redaction-assistee,Rédaction assistée par IA,AI-assisted writing,fondamentaux,fondamental,prompting-usage,a_rediger,
reduction-dimension,Réduction de dimension,Dimensionality reduction,fondamentaux,avance,donnees,a_rediger,wikipedia
reformulation-requete,Reformulation de requête,Query rewriting,fondamentaux,avance,rag-agents,a_rediger,
refroidissement,Refroidissement des data centers,Data center cooling,responsabilite,intermediaire,impact-environnemental,a_rediger,
registre-cas-usage,Registre des cas d'usage IA,AI use-case register,economie,intermediaire,cadre-juridique,a_rediger,
registre-traitements,Registre des traitements,Record of processing activities,reglementaire,intermediaire,cadre-juridique,a_rediger,
regression,Régression,Regression,fondamentaux,intermediaire,architecture-modeles,a_rediger,cnil oqlf
regularisation,Régularisation,Regularization,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml oqlf wikipedia
regurgitation,Régurgitation,Regurgitation,reglementaire,avance,evaluation-qualite,a_rediger,cnil
reseau-convolutif,Réseau de neurones convolutif (CNN),Convolutional Neural Network (CNN),fondamentaux,avance,architecture-modeles,a_rediger,google_ml oqlf wikipedia
reseau-neurones,Réseau de neurones artificiels,Artificial neural network,fondamentaux,fondamental,architecture-modeles,a_rediger,cnil franceterme
reseau-recurrent,Réseau de neurones récurrent (RNN),Recurrent Neural Network (RNN),fondamentaux,avance,architecture-modeles,a_rediger,google_ml oqlf wikipedia
responsabilite-ia,Responsabilité juridique de l'IA,AI liability,reglementaire,intermediaire,cadre-juridique,a_rediger,
resume-automatique,Résumé automatique,Automatic summarization,fondamentaux,fondamental,prompting-usage,a_rediger,oqlf
retropropagation,Rétropropagation,Backpropagation,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml wikipedia
rgpd,RGPD,GDPR,reglementaire,fondamental,cadre-juridique,publie,
rlhf,RLHF,RLHF,fondamentaux,avance,entrainement-apprentissage,publie,cafeia hoko
robotique-ia,Robotique et IA incarnée,Robotics and embodied AI,fondamentaux,intermediaire,architecture-modeles,a_rediger,
robustesse,Robustesse,Robustness,responsabilite,intermediaire,evaluation-qualite,a_rediger,cnil twilio
roi-ia,Retour sur investissement IA,AI ROI,economie,fondamental,ecosysteme-outils,a_rediger,
role-persona,Rôle et persona,Role prompting,fondamentaux,fondamental,prompting-usage,a_rediger,google_ml
rouge-bleu,Métriques ROUGE et BLEU,ROUGE and BLEU metrics,fondamentaux,avance,evaluation-qualite,a_rediger,
rpa,Automatisation robotisée des processus (RPA),Robotic Process Automation (RPA),economie,intermediaire,prompting-usage,a_rediger,
scaleway,Scaleway,Scaleway,souverainete,intermediaire,ecosysteme-outils,a_rediger,
science-donnees,Science des données,Data science,fondamentaux,fondamental,architecture-modeles,a_rediger,franceterme wikipedia
scope-3,Émissions de scope 3,Scope 3 emissions,responsabilite,avance,impact-environnemental,a_rediger,
score-confiance,Score de confiance,Confidence score,fondamentaux,intermediaire,evaluation-qualite,a_rediger,
scraping,Scraping,Web scraping,reglementaire,intermediaire,donnees,publie,
secnumcloud,SecNumCloud,SecNumCloud,souverainete,intermediaire,securite,a_rediger,
securite-donnees,Sécurité des données,Data security,economie,intermediaire,securite,publie,
serveur-inference,Serveur d'inférence,Inference server,souverainete,avance,architecture-modeles,a_rediger,
signalement-incidents,Signalement des incidents IA,AI incident reporting,reglementaire,intermediaire,cadre-juridique,a_rediger,
similarite-cosinus,Similarité cosinus,Cosine similarity,fondamentaux,avance,rag-agents,a_rediger,
singularite,Singularité technologique,Technological singularity,fondamentaux,intermediaire,architecture-modeles,a_rediger,oqlf wikipedia
slm,Petit modèle de langage (SLM),Small Language Model (SLM),souverainete,intermediaire,architecture-modeles,a_rediger,oqlf
slop,Slop · contenu IA de masse,AI slop,responsabilite,intermediaire,prompting-usage,a_rediger,google_ml
sobriete-numerique,Sobriété numérique,Digital sobriety,responsabilite,intermediaire,impact-environnemental,publie,
sommets-ia,Sommets internationaux sur l'IA,International AI summits,reglementaire,fondamental,ecosysteme-outils,a_rediger,
sora,Sora (OpenAI),Sora (OpenAI),economie,fondamental,ecosysteme-outils,a_rediger,
sorties-structurees,Sorties structurées (JSON),Structured outputs,fondamentaux,intermediaire,prompting-usage,a_rediger,
sous-apprentissage,Sous-apprentissage (underfitting),Underfitting,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml oqlf
souverainete-donnees,Souveraineté des données,Data sovereignty,souverainete,fondamental,donnees,a_rediger,
souverainete-numerique,Souveraineté numérique,Digital sovereignty,souverainete,fondamental,cadre-juridique,publie,
sso,Authentification unique (SSO),Single Sign-On (SSO),economie,intermediaire,securite,a_rediger,franceterme
stable-diffusion,Stable Diffusion,Stable Diffusion,souverainete,intermediaire,ecosysteme-outils,a_rediger,
statut-oeuvres-ia,Statut juridique des œuvres générées,Legal status of AI-generated works,reglementaire,intermediaire,cadre-juridique,a_rediger,
superintelligence,Superintelligence,Superintelligence,fondamentaux,intermediaire,architecture-modeles,a_rediger,wikipedia
supervision-humaine,Supervision humaine (AI Act),Human oversight (AI Act),reglementaire,intermediaire,cadre-juridique,a_rediger,
surapprentissage,Surapprentissage (overfitting),Overfitting,fondamentaux,intermediaire,entrainement-apprentissage,a_rediger,cnil google_ml wikipedia
surveillance-travail,Surveillance algorithmique au travail,Algorithmic workplace surveillance,reglementaire,intermediaire,cadre-juridique,a_rediger,
swe-bench,SWE-bench,SWE-bench,fondamentaux,avance,evaluation-qualite,a_rediger,
synchrone-asynchrone,Synchrone / Asynchrone,Synchronous / asynchronous,fondamentaux,fondamental,ecosysteme-outils,publie,
synthese-vocale,Synthèse vocale,Text-to-speech,fondamentaux,intermediaire,architecture-modeles,a_rediger,franceterme
systeme-expert,Système expert,Expert system,fondamentaux,intermediaire,architecture-modeles,a_rediger,franceterme wikipedia
systeme-haut-risque,Système d'IA à haut risque,High-risk AI system,reglementaire,fondamental,cadre-juridique,a_rediger,
systeme-multi-agents,Système multi-agents,Multi-agent system,fondamentaux,avance,rag-agents,a_rediger,wikipedia
systeme-recommandation,Algorithme de recommandation,Recommender system,fondamentaux,fondamental,architecture-modeles,a_rediger,oqlf
tarification-usage,Tarification à l'usage des API,API usage pricing,economie,fondamental,ecosysteme-outils,a_rediger,
taux-apprentissage,Taux d'apprentissage,Learning rate,fondamentaux,avance,entrainement-apprentissage,a_rediger,cnil google_ml oqlf
taux-hallucination,Taux d'hallucination,Hallucination rate,responsabilite,intermediaire,evaluation-qualite,a_rediger,
tco,TCO,TCO (Total Cost of Ownership),economie,intermediaire,ecosysteme-outils,publie,
tee,Environnement d'exécution de confiance (TEE),Trusted Execution Environment (TEE),souverainete,avance,securite,a_rediger,cnil
temperature,Température,Temperature,fondamentaux,intermediaire,prompting-usage,publie,cafeia google_ml hoko
terres-rares,Terres rares et minerais critiques,Rare earths and critical minerals,responsabilite,intermediaire,impact-environnemental,a_rediger,
test-ab,Test A/B,A/B testing,economie,intermediaire,evaluation-qualite,a_rediger,google_ml
test-intrusion,Test d'intrusion,Penetration testing,responsabilite,intermediaire,securite,a_rediger,
test-turing,Test de Turing,Turing test,fondamentaux,fondamental,architecture-modeles,a_rediger,wikipedia
test-validation-ia,Test & validation IA,AI testing & validation,responsabilite,intermediaire,evaluation-qualite,publie,
token,Token,Token,fondamentaux,fondamental,architecture-modeles,publie,google_ml hoko twilio
top-k,Top-k · récupération,Top-k retrieval,fondamentaux,avance,rag-agents,a_rediger,
top-p,Top-p · échantillonnage noyau,Top-p (nucleus sampling),fondamentaux,avance,architecture-modeles,a_rediger,
tpu,TPU · Tensor Processing Unit,TPU (Tensor Processing Unit),fondamentaux,avance,architecture-modeles,a_rediger,google_ml
tracabilite-donnees,Traçabilité des données (lineage),Data lineage,fondamentaux,avance,donnees,a_rediger,
traduction-automatique,Traduction automatique neuronale,Neural machine translation,fondamentaux,intermediaire,architecture-modeles,a_rediger,wikipedia
traitement-par-lots,Traitement par lots (batch),Batch processing,economie,intermediaire,architecture-modeles,a_rediger,franceterme
transcription-reunions,Transcription de réunions par IA,AI meeting transcription,economie,fondamental,prompting-usage,a_rediger,
transferts-internationaux,Transferts internationaux de données,International data transfers,reglementaire,avance,cadre-juridique,a_rediger,
transformer,Transformer,Transformer,fondamentaux,avance,architecture-modeles,publie,franceterme google_ml hoko wikipedia
transparence-algorithmes,Transparence des algorithmes,Algorithmic transparency,responsabilite,fondamental,evaluation-qualite,a_rediger,oqlf
travailleurs-clic,Travailleurs du clic,Click workers,responsabilite,intermediaire,donnees,a_rediger,
usage-outils,Usage d'outils par l'IA,Tool use,fondamentaux,intermediaire,rag-agents,a_rediger,
vector-store,Vector store,Vector store,souverainete,intermediaire,rag-agents,publie,
vectorisation,Vectorisation,Vectorization,fondamentaux,intermediaire,donnees,a_rediger,
veille-ia,Veille augmentée par IA,AI-powered monitoring,economie,intermediaire,prompting-usage,a_rediger,
verification-faits,Vérification des faits et IA,AI fact-checking,responsabilite,intermediaire,evaluation-qualite,a_rediger,
verite-terrain,Vérité terrain,Ground truth,fondamentaux,avance,evaluation-qualite,a_rediger,google_ml
versionnage-modeles,Versions de modèles,Model versioning,economie,intermediaire,entrainement-apprentissage,a_rediger,
vibe-coding,Vibe coding,Vibe coding,economie,intermediaire,prompting-usage,publie,google_ml
vision-ordinateur,Vision par ordinateur,Computer vision,fondamentaux,fondamental,architecture-modeles,a_rediger,cnil oqlf wikipedia
vllm,vLLM,vLLM,souverainete,avance,ecosysteme-outils,a_rediger,
web-semantique,Web sémantique,Semantic web,fondamentaux,avance,architecture-modeles,a_rediger,franceterme
webinaire,Webinaire,Webinar,economie,fondamental,ecosysteme-outils,publie,
wue,WUE · Water Usage Effectiveness,WUE (Water Usage Effectiveness),responsabilite,avance,impact-environnemental,a_rediger,
zero-shot-few-shot,Zero-shot / Few-shot,Zero-shot / few-shot,fondamentaux,avance,prompting-usage,publie,
zero-trust,Zéro confiance (zero trust),Zero trust,souverainete,intermediaire,securite,a_rediger,
